"T cells, Helper T cells, Cytotoxic T cells, NK T cells, Lymphocytes"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Blood vessel endothelial cells, Lymphatic endothelial cells"
"Fibroblasts, Mesenchymal cells, Stromal cells, Myofibroblasts, Extracellular matrix-producing cells"
"CD8+ Cytotoxic T cells, Cytotoxic T lymphocytes, NK cells, Effector T cells, NKT cells"
"B cells, Memory B cells, Naive B cells, Germinal center B cells, Plasma cells"
"Langerhans cells, Dendritic cells, Epidermal dendritic cells, Antigen-presenting cells, Skin-resident dendritic cells"
"B cells, Plasma cells, Memory B cells, Naive B cells, Germinal center B cells"
"CD4+ Helper T cells, Regulatory T cells, Memory T cells, Th1 cells, Th2 cells"
"Plasma cells, B cells, Antibody-secreting cells, IgA-producing plasma cells, Mature B cells"
"Secretory epithelial cells, Glandular epithelial cells, Luminal epithelial cells, Sweat gland cells, Mucous epithelial cells"
"Regulatory T cells (Tregs), CD4+ Tregs, Suppressor T cells, Immune regulatory cells, FOXP3+ T cells"
"Melanocytes, Pigment cells, Skin melanocytes, Melanin-producing cells, Epidermal melanocytes"
"Naive T cells, Central memory T cells, CD4+ T cells, T lymphocytes, Helper T cells"
"Smooth muscle cells, Myocytes, Vascular smooth muscle cells, Muscle cells, Pericytes"
"Natural Killer T (NKT) cells, NK cells, γδ T cells, Cytotoxic lymphocytes, Innate lymphoid cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Pericytes, Mesenchymal cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Lymphatic endothelial cells, Blood vessel endothelial cells"
"Fibroblasts, Stromal cells, Mesenchymal cells, Myofibroblasts, Extracellular matrix-producing cells"
"CD8+ T cells, Cytotoxic T lymphocytes, T lymphocytes, Effector T cells, Memory T cells"
"Dendritic cells, Mature dendritic cells, Antigen-presenting cells, Activated dendritic cells, Langerhans cells"
"T lymphocytes, CD4+ T cells, Memory T cells, Helper T cells, Naive T cells"
"Macrophages, Monocytes, Inflammatory macrophages, M1 macrophages, Antigen-presenting cells"
"Mast cells, Basophils, Allergy-associated cells, Granulocytes, Innate immune cells"
"Smooth muscle cells, Pericytes, Myocytes, Mesenchymal cells, Vascular smooth muscle cells"
"CD8+ Cytotoxic T cells, Cytotoxic T lymphocytes, T lymphocytes, Effector T cells, Memory T cells"
"Dendritic cells, Mature dendritic cells, Antigen-presenting cells, Langerhans cells, Activated dendritic cells"
"Natural Killer T (NKT) cells, NK cells, Cytotoxic lymphocytes, Innate lymphoid cells, γδ T cells"
"T lymphocytes, CD4+ T cells, Helper T cells, Memory T cells, Naive T cells"
"Mast cells, Basophils, Allergy-associated cells, Granulocytes, Innate immune cells"
"Mucous gland cells, Gastric chief cells, Secretory epithelial cells, Glandular epithelial cells, Enteroendocrine cells"
"Mitochondrial-rich cells, Respiratory epithelial cells, Metabolically active cells, Oxidative phosphorylation cells, Energy-demanding cells"
"Enteroendocrine cells, Neuroendocrine cells, Secretory cells, Intestinal endocrine cells, Gastric endocrine cells"
"Hepatocytes, Detoxifying cells, Liver cells, Metabolically active cells, Cholangiocytes"
"Intestinal stem cells, Crypt base columnar cells, Progenitor cells, Stem-like cells, Regenerative cells"
"Goblet cells, Mucus-secreting cells, Intestinal epithelial cells, Secretory epithelial cells, Enterocytes"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Lymphatic endothelial cells, Blood vessel endothelial cells"
"Enteroendocrine cells, Neuroendocrine cells, Secretory cells, Intestinal endocrine cells, Gastric endocrine cells"
"Fibroblasts, Stromal cells, Mesenchymal cells, Myofibroblasts, Extracellular matrix-producing cells"
"Plasma cells, B cells, Antibody-secreting cells, IgA-producing plasma cells, Mature B cells"
"Absorptive enterocytes, Intestinal epithelial cells, Columnar epithelial cells, Villus epithelial cells, Digestive epithelial cells"
"Schwann cells, Glial cells, Peripheral nerve cells, Myelinating cells, Neural crest-derived cells"
"B cells, Memory B cells, Naive B cells, Germinal center B cells, Plasma cells"
"CD8+ Cytotoxic T cells, Cytotoxic T lymphocytes, T lymphocytes, Effector T cells, Memory T cells"
"Goblet cells, Mucus-secreting cells, Intestinal epithelial cells, Secretory epithelial cells, Enterocytes"
"Proliferating cells, Dividing cells, Cycling cells, Stem cells, Transit-amplifying cells"
"Macrophages, Monocytes, Kupffer cells, M2 macrophages, Antigen-presenting cells"
"Absorptive enterocytes, Intestinal epithelial cells, Columnar epithelial cells, Villus epithelial cells, Digestive epithelial cells"
"Natural Killer T (NKT) cells, Innate lymphoid cells, γδ T cells, Memory T cells, CD4+ T cells"
"Mast cells, Basophils, Allergy-associated cells, Granulocytes, Innate immune cells"
"Germ cells, Primordial germ cells, Spermatogonia, Stem cells, Pluripotent cells"
"Erythrocytes, Red blood cells, Reticulocytes, Hemoglobin-rich cells, Oxygen-transporting cells"
"Regulatory T cells (Tregs), CD4+ Tregs, Suppressor T cells, Immune regulatory cells, FOXP3+ T cells"
"Platelets, Megakaryocytes, Thrombocytes, Blood clotting cells, Hemostatic cells"
"Neutrophils, Granulocytes, Myeloid cells, Polymorphonuclear leukocytes, Inflammatory cells"
"γδ T cells, Natural Killer T (NKT) cells, Cytotoxic lymphocytes, Innate lymphoid cells, T lymphocytes"
"Dendritic cells, Conventional dendritic cells, Antigen-presenting cells, Cross-presenting dendritic cells, CD141+ dendritic cells"
"B cells, Plasma cells, Memory B cells, Naive B cells, Germinal center B cells"
"Proliferating cells, Dividing cells, Cycling cells, Stem cells, Transit-amplifying cells"
"Natural Killer (NK) cells, Cytotoxic T lymphocytes, CD8+ T cells, NKT cells, Cytotoxic lymphocytes"
"Dendritic cells, Conventional dendritic cells, Antigen-presenting cells, Cross-presenting dendritic cells, Activated dendritic cells"
"Natural Killer (NK) cells, Cytotoxic T lymphocytes, CD8+ T cells, NKT cells, Cytotoxic lymphocytes"
"Macrophages, Monocytes, Kupffer cells, M2 macrophages, Antigen-presenting cells"
"T lymphocytes, CD4+ T cells, Helper T cells, Memory T cells, Naive T cells"
"γδ T cells, Natural Killer T (NKT) cells, Cytotoxic lymphocytes, Innate lymphoid cells, T lymphocytes"
"CD8+ Cytotoxic T cells, Cytotoxic T lymphocytes, T lymphocytes, Effector T cells, Memory T cells"
"Neutrophils, Granulocytes, Myeloid cells, Polymorphonuclear leukocytes, Inflammatory cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Blood vessel endothelial cells, Lymphatic endothelial cells"
"T lymphocytes, CD4+ T cells, Helper T cells, Memory T cells, Naive T cells"
"Macrophages, Monocytes, Inflammatory macrophages, Antigen-presenting cells, Dendritic cells"
"Neutrophils, Granulocytes, Myeloid cells, Polymorphonuclear leukocytes, Inflammatory cells"
"B cells, Naive B cells, Memory B cells, Germinal center B cells, Plasma cells"
"Plasma cells, B cells, Antibody-secreting cells, IgG-producing plasma cells, Mature B cells"
"B cells, Memory B cells, Naive B cells, Germinal center B cells, Plasma cells"
"B cells, Memory B cells, Naive B cells, Germinal center B cells, Plasma cells"
"Dendritic cells, Plasmacytoid dendritic cells, Antigen-presenting cells, Immature dendritic cells, Activated dendritic cells"
"T lymphocytes, CD4+ T cells, Helper T cells, Memory T cells, Naive T cells"
"Effector T cells, Memory T cells, CD8+ T cells, Cytotoxic T lymphocytes, CD4+ T cells"
"Plasma cells, B cells, Antibody-secreting cells, IgA-producing plasma cells, Mature B cells"
"CD8+ Cytotoxic T cells, Cytotoxic T lymphocytes, T lymphocytes, Effector T cells, Memory T cells"
"B cells, Naive B cells, Memory B cells, Germinal center B cells, Plasma cells"
"Mast cells, Basophils, Allergy-associated cells, Granulocytes, Innate immune cells"
"Natural Killer (NK) cells, Cytotoxic T lymphocytes, CD8+ T cells, NKT cells, Cytotoxic lymphocytes"
"Skeletal muscle cells, Myocytes, Muscle fibers, Striated muscle cells, Satellite cells"
"Dendritic cells, Conventional dendritic cells, Antigen-presenting cells, Cross-presenting dendritic cells, Activated dendritic cells"
"Endothelial cells, Lymphatic endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells, Capillary endothelial cells"
"Thymocytes, T cell precursors, Immature T cells, Developing T cells, Double-positive thymocytes"
"Mast cells, Basophils, Allergy-associated cells, Granulocytes, Innate immune cells"
"Squamous epithelial cells, Keratinocytes, Epithelial cells, Mucosal epithelial cells, Stratified epithelial cells"
"Monocytes, Macrophages, Inflammatory cells, Antigen-presenting cells, Myeloid cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Blood vessel endothelial cells, Lymphatic endothelial cells"
"Natural Killer (NK) cells, Cytotoxic T lymphocytes, CD8+ T cells, NKT cells, Cytotoxic lymphocytes"
"T lymphocytes, CD4+ T cells, Helper T cells, Memory T cells, Naive T cells"
"Regulatory T cells (Tregs), CD4+ Tregs, Suppressor T cells, FOXP3+ T cells, Immune regulatory cells"
"Thymocytes, T cell precursors, Immature T cells, Developing T cells, Double-positive thymocytes"
"CD8+ Cytotoxic T cells, Cytotoxic T lymphocytes, T lymphocytes, Effector T cells, Memory T cells"
"Proliferating cells, Dividing cells, Cycling cells, Stem cells, Transit-amplifying cells"
"Erythrocytes, Red blood cells, Reticulocytes, Hemoglobin-rich cells, Oxygen-transporting cells"
"Mesothelial cells, Epithelial cells, Serous membrane cells, Peritoneal cells, Pleural cells"
"B cells, Memory B cells, Naive B cells, Germinal center B cells, Plasma cells"
"Macrophages, Monocytes, Dendritic Cells, Myeloid Cells, Phagocytic Cells"
"Smooth Muscle Cells, Vascular Smooth Muscle Cells, Pericytes, Myoepithelial Cells, Fibroblasts"
"Plasma Cells, B Cells, Marginal Zone B Cells, Antibody-Secreting Cells, Immunoglobulin-Producing Cells"
"Endothelial Cells, Vascular Endothelial Cells, Microvascular Endothelial Cells, Lymphatic Endothelial Cells, Capillary Endothelial Cells"
"Endothelial Cells, Vascular Endothelial Cells, Microvascular Endothelial Cells, Lymphatic Endothelial Cells, Capillary Endothelial Cells"
"Fibroblasts, Stromal Cells, Mesenchymal Cells, Connective Tissue Cells, Extracellular Matrix-Producing Cells"
"Endothelial Cells, Vascular Endothelial Cells, Arterial Endothelial Cells, Microvascular Endothelial Cells, Capillary Endothelial Cells"
"Keratinocytes, Squamous Epithelial Cells, Oral Mucosal Cells, Stratified Epithelial Cells, Epithelial Cells"
"Skeletal Muscle Cells, Myoblasts, Muscle Satellite Cells, Myocytes, Myogenic Precursor Cells"
"Schwann Cells, Glial Cells, Peripheral Glial Cells, Neural Crest-Derived Cells, Oligodendrocyte Precursor Cells"
"Lymphatic Endothelial Cells, Lymphatic Vessel Endothelial Cells, Endothelial Cells, Neurons, Sensory Neurons"
"Endothelial Cells, Vascular Endothelial Cells, Angiogenic Endothelial Cells, Blood Vessel Endothelial Cells, Capillary Endothelial Cells"
"Endothelial Cells, Vascular Endothelial Cells, Microvascular Endothelial Cells, Capillary Endothelial Cells, Blood Vessel Endothelial Cells"
"Fibroblasts, Stromal Cells, Mesenchymal Cells, Extracellular Matrix-Producing Cells, Connective Tissue Cells"
"T Cells, Lymphocytes, Helper T Cells, Memory T Cells, Cytotoxic T Cells"
"Epithelial Cells, Keratinocytes, Basal Epithelial Cells, Squamous Epithelial Cells, Skin Cells"
"Plasma Cells, B Cells, Antibody-Secreting Cells, Immunoglobulin-Producing Cells, Marginal Zone B Cells"
"Pericytes, Smooth Muscle Cells, Vascular Smooth Muscle Cells, Mesenchymal Cells, Myoepithelial Cells"
"Fibroblasts, Stromal Cells, Extracellular Matrix-Producing Cells, Mesenchymal Cells, Connective Tissue Cells"
"Serous Cells, Secretory Epithelial Cells, Glandular Epithelial Cells, Mucus-Secreting Cells, Acinar Cells"
"Regulatory T Cells, Naive T Cells, Thymocytes, T Cell Precursors, Immature T Cells"
"Neutrophils, Granulocytes, Polymorphonuclear Leukocytes, Myeloid Cells, Inflammatory Cells"
"Helper T Cells, CD4+ T Cells, T Lymphocytes, Effector T Cells, Memory T Cells"
"B Cells, Naive B Cells, Memory B Cells, Marginal Zone B Cells, Follicular B Cells"
"Secretory Epithelial Cells, Serous Cells, Mucus-Secreting Cells, Glandular Cells, Acinar Cells"
"Cytotoxic T Cells, CD8+ T Cells, T Lymphocytes, Killer T Cells, Effector T Cells"
"Plasma Cells, B Cells, Antibody-Secreting Cells, Immunoglobulin-Producing Cells, Memory B Cells"
"Secretory Epithelial Cells, Mucus-Secreting Cells, Goblet Cells, Glandular Epithelial Cells, Acinar Cells"
"Mast Cells, Basophils, Granulocytes, Inflammatory Cells, Myeloid Cells"
"Basal Epithelial Cells, Keratinocytes, Squamous Epithelial Cells, Skin Cells, Epithelial Cells"
"Macrophages, Monocytes, Dendritic Cells, Myeloid Cells, Phagocytic Cells"
"Fibroblasts, Stromal Cells, Mesenchymal Cells, Extracellular Matrix-Producing Cells, Connective Tissue Cells"
"Endothelial Cells, Vascular Endothelial Cells, Capillary Endothelial Cells, Microvascular Endothelial Cells, Blood Vessel Endothelial Cells"
"Pericytes, Smooth Muscle Cells, Vascular Smooth Muscle Cells, Mesenchymal Cells, Myoepithelial Cells"
"Secretory Epithelial Cells, Mucus-Secreting Cells, Goblet Cells, Glandular Cells, Acinar Cells"
"Ionocytes, Epithelial Cells, Secretory Cells, Transport Epithelial Cells, Intercalated Cells"
"Secretory Epithelial Cells, Club Cells, Clara Cells, Mucus-Secreting Cells, Bronchiolar Epithelial Cells"
"T Cells, CD4+ T Cells, Helper T Cells, T Lymphocytes, Effector T Cells"
"Ciliated Epithelial Cells, Respiratory Epithelial Cells, Ependymal Cells, Motile Cilia Cells, Multiciliated Cells"
"Ciliated Epithelial Cells, Multiciliated Cells, Respiratory Epithelial Cells, Ependymal Cells, Motile Cilia Cells"
"Smooth Muscle Cells, Vascular Smooth Muscle Cells, Myometrial Cells, Myoepithelial Cells, Pericytes"
"B Cells, Naive B Cells, Memory B Cells, Follicular B Cells, Marginal Zone B Cells"
"Natural Killer Cells, NK T Cells, Cytotoxic Lymphocytes, Innate Lymphoid Cells, Granulated Lymphocytes"
"Smooth Muscle Cells, Vascular Smooth Muscle Cells, Myometrial Cells, Myoepithelial Cells, Pericytes"
"Lymphatic Endothelial Cells, Endothelial Cells, Lymphatic Vessel Endothelial Cells, Vascular Endothelial Cells, Capillary Endothelial Cells"
"Proliferating Cells, Dividing Cells, Mitotic Cells, Cycling Cells, Stem Cells"
"T Cells, CD4+ T Cells, T Lymphocytes, Helper T Cells, Memory T Cells"
"Epithelial Cells, Glandular Epithelial Cells, Endometrial Cells, Secretory Cells, Luminal Epithelial Cells"
"Pericytes, Smooth Muscle Cells, Vascular Smooth Muscle Cells, Mesenchymal Cells, Myoepithelial Cells"
"Proliferating Cells, Dividing Cells, Mitotic Cells, Cycling Cells, Stem Cells"
"Macrophages, Monocytes, Dendritic Cells, Myeloid Cells, Phagocytic Cells"
"Fibroblasts, Stromal Cells, Mesenchymal Cells, Extracellular Matrix-Producing Cells, Connective Tissue Cells"
"Endothelial Cells, Vascular Endothelial Cells, Microvascular Endothelial Cells, Capillary Endothelial Cells, Blood Vessel Endothelial Cells"
"Lymphatic Endothelial Cells, Endothelial Cells, Lymphatic Vessel Endothelial Cells, Vascular Endothelial Cells, Capillary Endothelial Cells"
"Plasma Cells, B Cells, Antibody-Secreting Cells, Immunoglobulin-Producing Cells, Memory B Cells"
"Natural Killer Cells, Cytotoxic Lymphocytes, NK T Cells, Innate Lymphoid Cells, Granulated Lymphocytes"
"B Cells, Naive B Cells, Memory B Cells, Follicular B Cells, Marginal Zone B Cells"
"Mast Cells, Basophils, Granulocytes, Inflammatory Cells, Myeloid Cells"
"T Cells, CD4+ T Cells, T Lymphocytes, Helper T Cells, Effector T Cells"
"Pericytes, Smooth Muscle Cells, Vascular Smooth Muscle Cells, Mesenchymal Cells, Myoepithelial Cells"
"Endothelial Cells, Arterial Endothelial Cells, Vascular Endothelial Cells, Capillary Endothelial Cells, Microvascular Endothelial Cells"
"Macrophages, Monocytes, Dendritic Cells, Myeloid Cells, Phagocytic Cells"
"Smooth Muscle Cells, Vascular Smooth Muscle Cells, Pericytes, Myoepithelial Cells, Mesenchymal Cells"
"Fibroblasts, Stromal Cells, Mesenchymal Cells, Extracellular Matrix-Producing Cells, Connective Tissue Cells"
"Endothelial Cells, Vascular Endothelial Cells, Capillary Endothelial Cells, Microvascular Endothelial Cells, Blood Vessel Endothelial Cells"
"Erythrocytes, Red Blood Cells, Reticulocytes, Erythroid Cells, Hematopoietic Cells"
"Mesothelial Cells, Serous Membrane Cells, Epithelial Cells, Peritoneal Cells, Pleural Cells"
